iter	Passed	Remaining
407	5566	8076
408	5580	8063
409	5593	8048
410	5606	8034
411	5620	8020
412	5633	8006
413	5647	7993
414	5662	7981
415	5676	7969
416	5689	7954
417	5702	7939
418	5716	7926
419	5731	7914
420	5745	7901
421	5761	7890
422	5773	7875
423	5788	7863
424	5800	7848
425	5814	7834
426	5828	7821
427	5843	7808
428	5856	7794
429	5869	7779
430	5883	7767
431	5896	7753
432	5911	7740
433	5923	7725
434	5937	7711
435	5950	7697
436	5965	7685
437	5978	7670
438	5990	7655
439	6004	7641
440	6016	7626
441	6030	7613
442	6044	7599
443	6056	7584
444	6069	7569
445	6083	7556
446	6096	7542
447	6109	7528
448	6124	7515
449	6137	7501
450	6151	7488
451	6165	7474
452	6180	7463
453	6195	7451
454	6210	7438
455	6224	7425
456	6236	7410
457	6251	7398
458	6267	7386
459	6282	7375
460	6296	7362
461	6311	7350
462	6325	7336
463	6339	7323
464	6354	7311
465	6369	7298
466	6383	7285
467	6396	7270
468	6411	7258
469	6426	7246
470	6440	7233
471	6454	7220
472	6468	7206
473	6481	7193
474	6495	7179
475	6510	7167
476	6525	7155
477	6539	7141
478	6554	7129
479	6568	7115
480	6581	7100
481	6594	7086
482	6607	7072
483	6619	7057
484	6633	7043
485	6646	7029
486	6661	7017
487	6676	7004
488	6688	6989
489	6701	6975
490	6714	6960
491	6727	6946
492	6741	6933
493	6755	6919
494	6768	6904
495	6781	6890
496	6794	6876
497	6807	6862
498	6821	6848
499	6834	6834
500	6848	6820
501	6861	6807
502	6876	6794
503	6889	6780
504	6902	6765
505	6915	6751
506	6930	6739
507	6944	6725
508	6959	6713
509	6971	6698
510	6986	6685
511	7000	6672
512	7013	6658
513	7027	6644
514	7042	6631
515	7055	6617
516	7069	6604
517	7082	6589
518	7095	6575
519	7108	6561
520	7123	6549
521	7139	6537
522	7153	6524
523	7168	6511
524	7182	6498
525	7196	6485
526	7212	6473
527	7228	6461
